id,category,original_text,text,where,file,apply_ref,notes
copy-001,Labels,Хочу прочитати,Хочу прочитати,Статус книги,src/lib/labels.ts,labels:status.want_to_read,
copy-002,Labels,Читаю зараз,Читаю зараз,Статус книги,src/lib/labels.ts,labels:status.reading,
copy-003,Labels,Прочитано,Прочитано,Статус книги,src/lib/labels.ts,labels:status.finished,
copy-004,Labels,Не дочитала,Не дочитала,Статус книги,src/lib/labels.ts,labels:status.dnf,⚠️ жіночий рід
copy-005,Labels,Перечитую,Перечитую,Статус книги,src/lib/labels.ts,labels:status.re_reading,
copy-006,Labels,Цитата,Цитата,Тип нотатки,src/lib/labels.ts,labels:note_type.quote,
copy-007,Labels,Думка,Думка,Тип нотатки,src/lib/labels.ts,labels:note_type.thought,
copy-008,Labels,Загальна,Загальна,Тип нотатки,src/lib/labels.ts,labels:note_type.general,
copy-009,Labels,Особиста,Особиста,Видимість нотатки,src/lib/labels.ts,labels:note_visibility.private,
copy-010,Labels,Публічна,Публічна,Видимість нотатки,src/lib/labels.ts,labels:note_visibility.public,
copy-011,Labels,Невідомий автор,Невідомий автор,Fallback автор,src/lib/labels.ts,labels:unknown_author,
copy-012,Labels,Компактно,Компактно,Розмір полиць,src/lib/libraryDisplayPrefs.ts,labels:book_size.compact,
copy-013,Labels,Затишно,Затишно,Розмір полиць,src/lib/libraryDisplayPrefs.ts,labels:book_size.cozy,
copy-014,Labels,Велично,Велично,Розмір полиць,src/lib/libraryDisplayPrefs.ts,labels:book_size.grand,
copy-015,Labels,Українська,Українська,Мова книги,src/lib/language.ts,labels:language.ukr,
copy-016,Labels,Англійська,Англійська,Мова книги,src/lib/language.ts,labels:language.eng,
copy-017,Labels,Польська,Польська,Мова книги,src/lib/language.ts,labels:language.pol,
copy-018,Labels,Німецька,Німецька,Мова книги,src/lib/language.ts,labels:language.deu,
copy-019,Labels,Французька,Французька,Мова книги,src/lib/language.ts,labels:language.fra,
copy-020,Labels,Російська,Російська,Мова книги,src/lib/language.ts,labels:language.rus,
copy-021,Labels,Мова не вказана,Мова не вказана,Dashboard stats,src/lib/language.ts,labels:language_unknown,
copy-022,Labels,Паперова,Паперова,Формат книги,src/components/BookDetailModal.tsx,labels:format.paper,
copy-023,Labels,Електронна,Електронна,Формат книги,src/components/BookDetailModal.tsx,labels:format.ebook,
copy-024,Labels,Аудіо,Аудіо,Формат книги,src/components/BookDetailModal.tsx,labels:format.audiobook,
copy-025,Labels,Не вказано,Не вказано,Empty select/chip,src/components/BookDetailModal.tsx,labels:unspecified,
